Column_0,Column_1,Column_2,Column_3,Column_4,Column_6
21,New street technologies,"Group Discussion on AI (panel interaction)

Resume-based questions

Questions based on projects (explain in detail)                    Explain your major projects

Explain one of your project workflows

Questions about hackathon experience Group Discussion on AI (everyone speaks at least one point)

Questions based on resume

Few HR questions

Stress interview discussion

Explain major project

Explain complete system architecture of project","Technical interview based entirely on project work
Questions from whatever is mentioned in the resume                Distance problems
Simple Interest
Puzzles
Logical Reasoning Abstraction and Encapsulation

Linking mutable & immutable concepts with abstraction/encapsulation

Three-tier architecture

What are LLMs and Generative AI Collection class in Java

Difference between data structures

ArrayList vs LinkedList (when to use)

OOP concepts in Java

Why Java better than Python?

Why AI uses Python more than Java?

Java Data Structures MCQs","Basic Python questions (pen & paper coding round)

Intermediate level Python questions

Questions related to GitHub    From a given list, return all the non-unique elements

Write a lambda function

Predict the output of given code snippets

Difference between list and tuple

Mutable vs immutable elements (usage & implementation)

Decorators in Python (concept + real-life example)

Use of apply in Python Code explanation from coding round

Second largest element in an array without sorting

If all elements same → return -1

Java try–catch–finally execution

Conditions in programs

Application-based coding questions

Predict program output

Java coding concepts",
22,F-secure,Introduction,"Questions on project
Bugs faced during project development
Draw the flowchart of the entire project
Model used in the project and why that model was chosen
Test cases
Database used in the project   Core CS Subjects
Operating Systems concepts
Object Oriented Programming concepts
Computer Networks concepts
AI / ML / NLP
Machine Learning concepts
NLP concepts
Architecture for LLMs",Binary Search Tree implementation (preferred in Python),
23,Altimetrik,"Tell us about yourself.

Explain the projects you have done so far.","Explain Machine Learning models with real-world examples.

What are evaluation metrics in Machine Learning?

What are the different evaluation metrics used for regression and classification?

What are activation functions? Explain their types.

Explain bagging and boosting.

What is backpropagation?

What are optimizers in Machine Learning?",Python coding questions based on classes and methods (OOP concepts).,
24,Flow edge,"Tell me about yourself / Introduction

Tell me about yourself apart from your resume

Strengths and weaknesses

Why did you choose AI & Data Science?

Availability for the role

Visa or compliance related discussion

Tell me about your hobbies

What are your life plans?

Tell us about your family

Where do you reside?

How do you travel to work/college?

Other than coding/technology, what are you good at?

How fast can you learn new things?

Presentation on a non-technical topic followed by Q&A","Programming / OOP

Object Oriented Programming concepts

Programming explanations using Python/Java

Computer Systems

CPU vs Cores vs Threads

Web Technologies

What is JWT and how does it work?

How do APIs work?

How to make safe API requests?

How to make secure database requests?

Input sanitization

Code optimization

Operating Systems / Linux

Difference between kernel space and user space

Basic Linux commands and their purpose

Navigate directories in terminal

Create/remove directories and files (mkdir, rm)

Change file permissions

Create hard links and soft links

Use commands like echo and grep

System / Infrastructure

Basic knowledge of computer hardware

Components of a server

Difference between a server and a consumer PC

Understanding Linux infrastructure

AI / ML / Data

Machine Learning basics

Evaluation metrics in Machine Learning

Basic statistics

4. Data / Tools Tasks

Merge columns in an Excel file

Perform sorting and filtering

Data cleanup tasks

5. Aptitude / Logical Reasoning

Time and Work

Profit and Loss

Pattern Recognition

Data Interpretation (graphs, tables)

Probability

Blood Relations

Ordering and ranking problems

Speed calculation","Best Time to Buy and Sell Stock (Python)

Find a given key substring in a long text and return its position

General programming problems

Explain your approach while solving a coding problem

Debugging and fixing incorrect code

Basic Bash scripting (print output)

Difference between SQL tables and Pandas DataFrames",
25,Microland,"1. Personal / HR Questions

Tell me about yourself

Tell me about yourself apart from your resume

What is your parents’ native place?

Are you willing to relocate?

Are you willing to accept the bond?","Basic Computer Networking questions

Basic technical questions",,
26,Dilligent,"Tell me about yourself.

What do you do in your free time?","What is indexing?

How do you find websites?

How would you make your website better?

How does a dictionary work?",Build an e-commerce website using React (assignment).,
27,MSG Global,,"MCQs based on API
MCQs based on File Handling
MCQs based on Python concepts
MCQs based on OOPS
MCQs based on SQL
Questions based on OOPS
Questions based on SQL
Questions based on Python
Project-related questions","Coding on arrays
Coding on strings
Substring problem
Palindrome problem
Duplicates in array
Coding questions (general)",
28,XFilesPro,"Tell me about yourself
Family background
Why should we hire you?",Questions regarding projects mentioned in the resume,"Find the most frequent character in a string
Find first n numbers of prime numbers
Find the most frequent character in a string
Find first n numbers of prime numbers",
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
