Sno,Company name,Technical Questions,programming questions
24,SophisTex,"1.Aptitute Questions                                                                                                                                            2.Technical questions on CNS, OS, DBMS were asked                                                                              3. Questions related to project were asked                                                                                                                                                                                                                                                                                                                                                                                                                 ", 1.  Questions on ABAP debugging were asked   
25,Federal Bank,"More than 12 questions were asked from quants, verbal,basic reasoning,etc",
26,Tech Mahindra,"Questions on Oops concepts , Operating Systems and mysql were Asked","Basic Questions on OOPS, DBMS , MySQL were asked"
27,KOCH,"............................................

1.Aptitude contains basic aptitude questions.
2.Coding Test contains coding questions from basic programming , OOPS ,and medium questions on DSA
3.CS Theory questions  on network and cloud computing questions (Difficult)
4.Questions on difficulty faced in the Final Year Project?
5. Situation based/Behavioural HR Questions were asked
6.Question like tell us something apart from your resume
7.how did improve your communcation,soft skills,interpersonal skills?
8.what is your take on AI?
9.Why did you choose engineering ?
10.where you been team leader?1. Final Year Project 
11.About Strength and weakness
12.Having Internship in the resume is add on and I have been asked question on Spring boot and hibernate as I have worked in it in my Internship.
13.One puzzle was asked in which I was given 10 blue balls and 10 red balls and we need to pick one by one alternatively and need to put in a box. What will be the minimum number of turn it will take to form a pair with the same color in the box.(Answer was 3).","1.Detailed Follow-up questions from the Final Year Project
2.What is Polymorphism 
3.What is Inheritance 
3.What is Dataand Data type
4.Major questions on OOPS concepts (arround 75% ) , one programming question, discussion on my project. 
5.No questions was asked in DBMS,OS and CNS."
28,Iron mountain ,"1.Started with the introduction
2.Asked me to rate myself in programming languages I have worked on.
3.Questions on Projects or internship.
4.what is the one thing that the student liked about Iron Mountain in the pre placement presentation.","1.Questions on Involves angular, 
2.Medium level python questions .'"""
29,"Wonksknow, Bangalore","Round 1 - AI interview 
- 5 questions were asked, students had 1 minute to answer each question which was displayed for 5 seconds. 
Questions were 
1.Give your introduction
2.what are the sensors used in traffic control and driving
3.why are there different programming languages etc.

Round 3 and 4 were Personal Interview (Technical) 
4.wherein student was asked about my project 
5.questions regarding the trainer and developer role, 
6.how to handle real time situations that might arrive 
7.why student wanted this job.
","
1. What is flutter? 
2. Questions related to full stack development 
3.Which logic gate is used in two-way switches? 
4.Internal implementation details of RAM"
30,Quantiphi,"Around 65 question were asked
   1. 2 coding questions Introduction
   2.some resume questions
   3.BA analyst role and responsibility, 
   4.regarding website and their service offered ",1. Write palindrome code
31,Epsilon,"Round - 1
1.intro, 
2. Questions on SQL theory,
3. SQL queries.
Round  - 2
1.scenario based SQL queries
2.behavioural question 
3. Questions on digital marketing                         
Round 3 Managerial round
1.behavioural question
2. simple hr questions ",
32,Talent trek E learning,"1.Introduce yourself.
2.What is sales.
3.Why do you want to join sales.",
33,Airstem Labs,"1. Questions on programming concepts
2.Explain different loops and explain the difference between them
3. Behavioural questions were asked                                                       ",
34,phonepe,"1. Explain how search engine works. How it retrieves the data
2. Explain the process of how email works.
3. Difference between Authentication and Authorisation","1. Determine age (java)
2. Classes and Object (Python)
3. Sum of Digits
4. Character Occurrence
5. Calculate Discount
6. Merging Two Arrays"
