serial_number,company_name,technical_questions,programming_questions
11,Oracle (FSS),"1. Two technical interview rounds - mainly focused on SQL queries, Java, OOPs concepts, projects, Exception handling and (prepare well for whatever tech skills mentioned in resume.) 
2.diagrammatically explain your project 
3. Diff bw drop truncate delete in sql                                                                                                             4. indexing in sql and why its imp                                                                                                                       5. foreign key and primary key and composite key in dbms                                                                                                                                                              6. Java and its features, OOPs, thread and multithreading, exception handling and its types, get post put in api                                                                                                                                                                                                                 7. what is method overloading and overriding and which one is runtime                                                                                                                                                                 8.  types of Inheritance                                                                                                                         9.is multiple Inheritance allowed in java                                                                                                                                                                                    10. synchronized block and synchronized method in java                                                                                                                 11. abstraction and encapsulation                                                                                                                                                                                                                                               12. Diff bw linked list and arraylist                                                                                                                                  13. what are the diff types of collections in java                                                                                                                         14. Java libraries 
14. DBMS scenario based question","1. Find the count of possible palindromes in string                                                                                                                                           2.Find the count of vowels and consonants in string                                                                                                 3.Prime number with exception handling                                                                                                         4.sql queries to find maximum salary of emp                                                                                         5.doing left join from two tables 6.Based on experience of employees group there salary                                           6. Prime no. and fibonacci code, sql queries                                                                                                              7. Write Inheritance code                                                                                                                                                                                                                                          8. Code in java, find the max no. of ways a graph can be formed using the given no. Of vertices                                                                                                                             9. SQL query - retrieve the details about third highest salary person. 
10. Reverse a string and count the number of vowels and consonants."
12,Surewaves,1. Questions based on skillsets mentioned in the resume and some social media improvements,
13,Epicor,"1. Basic questions on JAVA
2. What is bash? What is shell scripting used for?
3. What is kernel? 
4. Explain projects mentioned on resume followed by questions related to it.
5. Discussion on extra curricular activities mentioned on resume.","1. Write a program to find a particular word in a given sentence in JAVA.
Example: Input: s = ""This is a book""
                            w = ""book""
                 Output: True (as the word is present in the given sentence)"
14,Microland,"1. Questions on networking and cloud computing. Apart from that, questions were primarily focused on the projects and skill-set mentioned in the resume                                                                                        2. Operating systems concepts",
15,QSYS,"1. Oops
2. Constructors and destructors 
3. Properties and advantages of java
4. Spring boot features
5. Example code for inheritance                                                                                                             6. Python related basic questions","1. ""Frequency of a substring in a given string Reverse each word of a string ""                              2. ""Kth element Frequency of substring  Sum of numbers """
16,KOCH,"1. About project and the technology used in the project.
2. Why the particular tech stack is used?                                                                                                   3. DBMS related questions","1) Print alternate characters from the given string with a space between them.
2) Add the two inputs and add leading zeroes to make the output the specified size."
17,Ascendion,"1. Define OOPS and its four pillars
2. Steps of software development life cycle.",NIL
18,Quantum Street AI,"1. Code of Prime number, 
2. Difference between Dictionary and List.
3. Difference between Set and List.
4. Define AI, Machine Learning, ML Model.",1. Prime number code and syntax based questions.
19,Light & Wonder,"1. State management in React
2. Hooks in React
3. Inheritance in React
4. Polymorphism
5. Difference between Java and C++
6. Async and await concepts
7. Scenario-based question on async and await","1. Reverse a number
2. Reverse a string
3. Detect a cycle in a linked list
4. Check whether a string is a palindrome or not"
20,SophisTex,"1. Related to Abstract class, Exception Handling, Joins and SQL Queries
2. What is Abstraction, polymorphism, inheritance?
3. Different sorting techniques 
4. Which is better linear search or the binary search?
5. Sql commands 
6. Queries on joins",1. Binary search Any language can be used
21,ANZ Bank,"1. query on insert,update and delete
2. definition of data structure
3.difference between array and linked list
4.brief about software testing and tools 
5.brief about mongodb abd its features.
6.SQL query to find the maximum salary
7. About docker
8. JavaScript based questions","1. program related to array
2.  find minimum time required to execute a set of processes(process allocation)
3. SQL query
4. Meeting rooms II (Leetcode) 
5. Dominos Coloring (DP Question)"
22,Archle Labs,,
23,Unique HR,,
24,Bottomline,"1. Anagram
2. Bubble sort with time complexity
3. Stack implementation
4. SQL basic to medium level queries
5.Full conceptual knowledge on Java, Python, C, Javascript
6. AI
7. OOPS
8. SDLC
9.  OS concepts
10. Scenario based api end point creation
11. Given an array of numbers bring all the zeros to the end(no using an extra array)
12. Docker image creation
13. Redis and Mongodb related
14. Project related (from Resume)
15. Arrays","1. Write a program to  sum numbers from range [1, n] given that it should not be a multiple of x and y. They gave values of n, x and y..
2. rite a program to add adjacent numbers until we found the the numbers are not circular which means the forst number and last number are same and increase the count if the sum of those adjacent numbers is divisible by N. They gave arr[], N.
3. Sum of all numbers from 1 to N which are not a multiple of X and Y
4. Find the sum of the couples in an array that are divisible by N and not a wrap around of the non cur circular array. 
5. Sum of numbers from 1 to N which are not divisible either by x or t
6. Bring all the zeros to the end of the array(the order of other numbers should be preserved and no additional array can be used) 
7. Array based programs"
25,Diona,,
26,ANZ (Apprentice Role),"1. Java- data types, multithreading, datstructure
2. Python - mutable and immutable, how to pass the value
3. SQL Queries","1. Code for Sorting and Searching technique
2. Scenario based question
""How to move the 1000's terabytes of transaction from one machine to another"" (Asked about approach used for above question)"
27,Esyasoft Technologies,1. Sorting and searching,1. Code for sorting algorithm.
28,Thought works,,
29,Infosys 3,,
