Column_0,Column_1,Column_2,Column_3,Column_4
10,Tap academy,1. Why u chose software instead of hardware company?,1.Logic for utopian tree,"1. Utopian tree, 
2. check prime number,
3. third largest number"
11,Capgemini,"1. Oops and sql and coding
2. I was asked questions on my projects and in python (characteristics, immutable datatypes and mutable datatypes,classes and objects) and in ece core knowledge (modulation, amplification, communication protocols, microcontrollers and microprocessor) 
3. Introduce yourself 
4. Tell me about your projects in detail 
5. Ece basics questions like what is microcontroller, semiconductor, xor gate,  types of microcontroller, transistor.","1. Oops 
2. df bw list tupple
3. Coding
4. Computer network and 
5. OS basics","1. C Questions
2. Java Questions
3. C++ Questions
4. C and java can be used and not python ?
5. Languages can be used are c, java, c++ ?"
12,Accenture,"1.Tell me abt yourself
2.can you explain your project
3.if u had to redo ur whole project what would u change
4.asked me about my leadership skills when i was in ieee club
5.difference btw machine learning n nlp
6. sql basics
7. how did you resolve issues when working as a team
8. do you have any questions for me","1. CS-SQL 
2. Data storage",
13,Magna Innovation,"1.Tell me about your self
2.explain me any one topic for 2mins
3.give me your real-time achievement. 
4.do you read any books
5.you are given with a magical pen which can rewrite your future, what would you write? 
6. normal HR Question based on the scenario 
7. Some logical based question, 
8. questions like now a days whats going on in the industry, strengths and weaknesses, 
9. what you did in the project, where you have taken the code for the project, 
10. favorite subject and mainly of thinking and confidence disipline is important here
11. Based on resume,basics of electronics and principals of communication 
12. Basics of embedded systems 
13. tell me about yourself, and personal questions","1. C- lang, 
2. ece related questions
3. All basics from academics and projects should be known, such as digital electronics, microcontroller, digital communication, DSP, CN, OS, and what is included in the resume 
4. Conversation of ac to dc and vice-versa,
5. analog to digital and vice-versa,
6. Function of full wave rectifier,
7. half wave rectifier.
8. Embedded systems, embedded c 
9. ECE core questions based on MC and project related","1. C program is important for the Embedded domain, and the basics of Embedded C and Python were asked
2. Swapping of numbers"
14,Fractal analytics,"1. Questions on project,what kind of person, role based questions",1. Questions based on projects,-
15,Ericsson,"About yourself ,family background,about the company,your decision making , long term and short term goal
It was about your interest,resume based questions, family background 
Hr was also general information round from there side about the company , the shift and the location","1. It was all the deep question in core domain of networking, 
2. Digital communication, analog communications, 
3. wireless communication 
4. What is an operating system?
5. What is process vs thread?
6. What is deadlock?
7. What is virtual memory?
8. What is multitasking?
9. What is CPU scheduling?
10. Computer Networks
11. What is the OSI model?
12. Difference between TCP and UDP.
13. What is an IP address?
14. What is DNS?
15. What is HTTP and HTTPS?
16. What is network topology?",Commands of Linux and basics of python and c
16,Genpact,"""Self introduction 
Detailed explanation of projects mentioned in resume
Questions related to projects""",,
17,Microland,"1. About networking, 
2. projects, 
3. core related questions 
4. Tell me about yourself.
5. Explain your project in 2 minutes.
6. OSI model (7 layers).
7. What is IP address 
8. Difference between TCP and UDP.
9. Why Microland / Why this role?
10. Are you ok with rotational shifts and bond?","1. Networking
2. Tell me about yourself.
3. Explain your project in 2 minutes.
4. OSI model (7 layers).
5. Steps to troubleshoot internet connectivity.
6. Difference between TCP and UDP.
7. What is Active Directory?
8. Why Microland / Why this role?
9. Are you ok with rotational shifts and bond?""",No programming questions asked
18,Bosch,"1. In hr interview asked behavioural questions like why this company,
2. why u need this apprenticeship,
3. after apprenticeship what u will do.","1. In first technical interview asked about adc details explanation with example, 
2. defination of sensor,
3. actuators with examples,
4. what components used in academic projects
5. workflow of projects, 
6. usage of each components used in project.",1. One python programming question.
19,RDC CONCRETE,"1. How you can say you are good for this company 
2. About personal details,Family background 
3. Where I see myself in 5 years 
4. How many hours u can work in a day",1. about sensor,
