Sno,Company name,Technical Questions,Programming questions
11,FIS,"1. Asked about project 
2.difference between oops and structures 
3.types of networks
4.query to eliminate duplicate copy in table 
5.basic questions on html as l mentioned in resume 
6. questions on inheritance and polymorphism.
7.had a DB project in my resume so i was asked to draw the schema of the DB 
8.python (mentioned in resume)
9.pass keyword
10.list and tuples
11.datatypes in python
12.implement nested if else in python without using nested if elif (you cannot implement switch in python so not possible)
13.java oops (inheritance,polymorphism,encapsulation,abstraction)
14.Computer Networks
15.linux","1. Write a program on reverse of string
2. Write a logic for reversing a string any language 
3. Given an n number of bowls and each filled with some marble's (0-9) if the bowl contains 9 marble's from the last while traversing then make the bowl with 9 marble's as 0 and update the previous bowl before the bowl containing 9 marble's and some corner test cases to be handled.
4. Question was may be related to arrangements (combinations)
5. odd even program"
12,Cimpress,"1. Questions on project, 
2. OOPS concepts: abstraction, encapsulation difference. Abstract classes in java
3. Interface in java. How both are different.
4. Protect data over the network. Encryption. Private key, public key, symmetric asymmetric encryption.
5. Hashing collisions.
6. Database design for auctions project. 
7. Concept of locking in db design. Read locks write locks
8. ReactJS what is the advantage it provides: Virtual DOM
9. Nosql vs sql which to use, why one is preferred over the other
10. Scenario: parking lot design using concept of classes and objects
","1. Find cycle in linked list. No hashMap, no fast slow pointers, no length given, code it uniquely
2. Find the element that appears only once
3. Implement stack using 2 queues
4. Write a Program on Creation of Linked list and insertion, deletion from linked list in Python
5.  Given n computers where each computer is denoted by values [rj,sj, cj] rj denotes RAM, sj denotes speed, cj denotes cost. Given Q queries where each query contains [Rj,Sj] find the computer with the minimum cost for each query, if no computers exist return -1 (20Marks)
6.Implement a lru cache. Given queries Q, queryj can be of 2 types: 
Type1: 1,get, key
Type 2: 2, key,val 
For type 1 queries, if key exists return its value in the cache, otherwise -1
For type 2 queries, if key exisits update its value,otherwise insert. If cache reaches its maximum size and no more space to insert, remove the key that was least recently accessed, if multiple such keys exist, take the smallest key.(50 Marks)"
13,Microland,"1. Questions based on networking
2. Interviewer focused mainly on projects and and questions were based on technologies used in the project
3. Basic questions based on C 
4. SQL, HTML in technical round ",no information received from students
14,Epsilon second drive,"1. A lot of DBMS questions were asked (Difference between SQL, NoSQL, Data types, Hashing, Optimization of Databases, Normalization, Joins, etc) and SQL Queries were to be written.
2. Programming/ basic questions from the programming language of your choice.
3. Project based questions; candidate might be asked to write queries used in their projects.
4. Stored Procedures, Triggers in SQL
5. Various Databases like MongoDB, SQL databases, their uses and case-based questions.","1. Only one coding question in the Mettl round:

Question:

Passcode at an office entrance changes every day and is different for every employee. The passcode for an employee to enter the office is a function of total number of days the office has been in operation; added to a sum that is calculated using another function of employee ID number and number of days the employee has worked so far. 
An employee enters the office by entering their passcode for the day, you need to find the employee ID number and the number of days they have worked at the office so far using the passcode they entered.

Approach:

Use a recursive approach where the base case is not fixed, and should depend on a variable like the day of employment or employee ID."""
15,BlueBird,"1. Define list , traverse the list in Python 
2. Basic SQL queries 
3. testing, types of testing
4. what is automation testing, black box testing, white box testing
5. test cases for mobile battery
6. Explain the bugs you find in daily life during programming
Android versions
","1. Prime numbers in range of 1 to 100
2. Python create array"
16,O9 Solutions,"1. There were 2 technical round and in the first round the questions asked were from sql and some coding questions where i was asked to write a code for matrix multiplication
2. sql questions on find 2nd highest salary and triggers and stored procedure 
3. Basic questions then in the second round it was completely on projects that were mentioned in the resume
4. Finally about the o9 Solutions and what do you know about the role that they are offering.
5. Joins,views ,rank ,dense rank and basic errors in python like syntax error, type error  ","1. Write a program for Fibonacci series
2. Find the second greatest element in an array
3. Prime numbers
4. Password verification program
5. Palindrome
6. String reversal
Language: preferably Python but they were okay with any language 
7. Matrix multiplication (python/java)
8. SQL basic questions 
9. coding palindrome prime number password validity and printing  pattern "
17,Toprankers,"1. logical questions from oops(Java inheritance in depth),
2. sql-joins
3. recursion
4. linkedlist implementation,queue,stack,
5. css,html, dbms- indexing in depth
6. what is difference between anchor tag and link. 
7. Why we use spam tag 
8. How you modify dome model 
9. what is flex in CSS 
10. time complexity of some programs ","1. medium level recursion question
"
18,FlowEdge,"1. Problems on linked list, array
2. OOP concepts","1. Function calls
2. C++ based questions"
19,MSG Global solution,"1. How to achieve encapsulation
2. Call by value and call by reference
3. Searching and sorting algorithm with code 
4. To check if a string is pallidrome or not 
5. To find duplicate character in a array 
6. program based on Java encapsulation and polymorphism
7. OOPs concepts, Inheritance and example, Polymorphism with example
8. Difference between abstract class and interfaces
9. Indexing in DBMS
10. Simple queries in SQL
11. Operator overloading 
","1. Reverse a string
2. Palindrome
3. Bubble sort (java or C)
4. Codes for polymorphism and inheritance
5. Queries in DBMS 
6. Reverse string,check palindrome,remove duplicate letters in string,
7. check number of palindromes present in given string.
"
20,Publicis Sapient,"1. regarding the mini project.
2. Linear Data structures
3. Search or sort algorithm
4. Projects
5. hierarchy in exception handling
6. jdk vs jvm vs jre
7. primary key and foreign key, 
8. explain public static void main","1. Program on palindrome
2. Program to reverse the string
3. How to sort the array in reverse and find second largest element in array
4. Program to find sum of all even numbers from 1 to 100"
21,Arts for Tech,"1 define constructor
2. 4 pillers of oops",1. Swapping program and reverse a string
22,Tech Mahindra ,"1 OOPS  
2. DBMS concept
3. OS concept
4. MYSQL","1.fibonacci series
2.prime number
3.palindrome"
23,KOCH2,"1. Oops implementation of abstract class , interface, inheritance, encapsulation, object creation 
2. Dsa (bst),
3. java (core) , 
4. dbms (transiction),","1.Program on Merge sort , Binary serach Tree, linked list"
24,Carrier,,"1. Very easy DSA program beginner level
2. Sting character replace,
3. bubble sort
4. selection sort
"
25,KOCH apprenticeship,"1. Technologies used in Projects which are present in Resume.
2. Oops concepts 
3.  SQLqueries 
4. DBMS technical questions
5. Questions on python, java and DSA.","1. Bubble sort, 
2. Fibonacci, 
3. Write a program using array for changing digits of number question. "
26,IronMountain,"1.  SQL queries and questions based on project 
2. OOPS concepts
3. About The project",1. String programs
27,Quantiphi,"1.What is cloud computing, 
2. What is GenAI? 
3.How can GenAI be used at home and colleges, 
4. Difference between top down and bottom up approaches.",1. Palindrome program ( in Java)
28,Iron Mountain,"1.Oops concepts 
2. DBMS technical qns
3. SQL queries and questions based on project 
4. Questions on python, Java and DSA.","1. Bubble sort 
2. Fibonacci 
3. SQL queries"
29,Math Co,,
